subdomain,url,property_count,property_links_count,property_links,company_address,website,phone,email,social_media_facebook,social_media_instagram,social_media_twitter,social_media_linkedin,social_media_youtube,amenities,has_cancellation_policy,has_check_in_info
bandycanyon.lodgify.com,https://bandycanyon.lodgify.com,33,6,https://bandycanyon.lodgify.com/property/luxury-villa-1; https://bandycanyon.lodgify.com/property/luxury-villa-2; https://bandycanyon.lodgify.com/property/luxury-villa-3; https://bandycanyon.lodgify.com/property/luxury-villa-4; https://bandycanyon.lodgify.com/property/luxury-villa-5; https://bandycanyon.lodgify.com/property/luxury-villa-6,"574 Main St, City, State 72800",https://www.bandycanyon.com,+1-265-823-8600,contact@bandycanyon.com,https://facebook.com/bandycanyon,https://instagram.com/bandycanyon,https://twitter.com/bandycanyon,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
riversresortrentals.lodgify.com,https://riversresortrentals.lodgify.com,32,4,https://riversresortrentals.lodgify.com/property/luxury-villa-1; https://riversresortrentals.lodgify.com/property/luxury-villa-2; https://riversresortrentals.lodgify.com/property/luxury-villa-3; https://riversresortrentals.lodgify.com/property/luxury-villa-4,"9003 Main St, City, State 11765",https://www.riversresortrentals.com,+1-332-862-7038,contact@riversresortrentals.com,https://facebook.com/riversresortrentals,https://instagram.com/riversresortrentals,https://twitter.com/riversresortrentals,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
tideway-hotel.lodgify.com,https://tideway-hotel.lodgify.com,35,7,https://tideway-hotel.lodgify.com/property/luxury-villa-1; https://tideway-hotel.lodgify.com/property/luxury-villa-2; https://tideway-hotel.lodgify.com/property/luxury-villa-3; https://tideway-hotel.lodgify.com/property/luxury-villa-4; https://tideway-hotel.lodgify.com/property/luxury-villa-5; https://tideway-hotel.lodgify.com/property/luxury-villa-6; https://tideway-hotel.lodgify.com/property/luxury-villa-7,"8317 Main St, City, State 26125",https://www.tideway-hotel.com,+1-415-960-7172,contact@tideway-hotel.com,https://facebook.com/tideway-hotel,https://instagram.com/tideway-hotel,https://twitter.com/tideway-hotel,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
oceanresort.lodgify.com,https://oceanresort.lodgify.com,23,3,https://oceanresort.lodgify.com/property/luxury-villa-1; https://oceanresort.lodgify.com/property/luxury-villa-2; https://oceanresort.lodgify.com/property/luxury-villa-3,"6916 Main St, City, State 77395",https://www.oceanresort.com,+1-940-740-1388,contact@oceanresort.com,https://facebook.com/oceanresort,https://instagram.com/oceanresort,https://twitter.com/oceanresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
mountainresort.lodgify.com,https://mountainresort.lodgify.com,5,7,https://mountainresort.lodgify.com/property/luxury-villa-1; https://mountainresort.lodgify.com/property/luxury-villa-2; https://mountainresort.lodgify.com/property/luxury-villa-3; https://mountainresort.lodgify.com/property/luxury-villa-4; https://mountainresort.lodgify.com/property/luxury-villa-5; https://mountainresort.lodgify.com/property/luxury-villa-6; https://mountainresort.lodgify.com/property/luxury-villa-7,"8744 Main St, City, State 26943",https://www.mountainresort.com,+1-871-395-2241,contact@mountainresort.com,https://facebook.com/mountainresort,https://instagram.com/mountainresort,https://twitter.com/mountainresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
cityresort.lodgify.com,https://cityresort.lodgify.com,24,3,https://cityresort.lodgify.com/property/luxury-villa-1; https://cityresort.lodgify.com/property/luxury-villa-2; https://cityresort.lodgify.com/property/luxury-villa-3,"9929 Main St, City, State 39655",https://www.cityresort.com,+1-626-517-5047,contact@cityresort.com,https://facebook.com/cityresort,https://instagram.com/cityresort,https://twitter.com/cityresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
beachresort.lodgify.com,https://beachresort.lodgify.com,29,7,https://beachresort.lodgify.com/property/luxury-villa-1; https://beachresort.lodgify.com/property/luxury-villa-2; https://beachresort.lodgify.com/property/luxury-villa-3; https://beachresort.lodgify.com/property/luxury-villa-4; https://beachresort.lodgify.com/property/luxury-villa-5; https://beachresort.lodgify.com/property/luxury-villa-6; https://beachresort.lodgify.com/property/luxury-villa-7,"5792 Main St, City, State 50841",https://www.beachresort.com,+1-934-297-6677,contact@beachresort.com,https://facebook.com/beachresort,https://instagram.com/beachresort,https://twitter.com/beachresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
lakeresort.lodgify.com,https://lakeresort.lodgify.com,9,6,https://lakeresort.lodgify.com/property/luxury-villa-1; https://lakeresort.lodgify.com/property/luxury-villa-2; https://lakeresort.lodgify.com/property/luxury-villa-3; https://lakeresort.lodgify.com/property/luxury-villa-4; https://lakeresort.lodgify.com/property/luxury-villa-5; https://lakeresort.lodgify.com/property/luxury-villa-6,"5323 Main St, City, State 68859",https://www.lakeresort.com,+1-260-572-1937,contact@lakeresort.com,https://facebook.com/lakeresort,https://instagram.com/lakeresort,https://twitter.com/lakeresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
forestresort.lodgify.com,https://forestresort.lodgify.com,29,6,https://forestresort.lodgify.com/property/luxury-villa-1; https://forestresort.lodgify.com/property/luxury-villa-2; https://forestresort.lodgify.com/property/luxury-villa-3; https://forestresort.lodgify.com/property/luxury-villa-4; https://forestresort.lodgify.com/property/luxury-villa-5; https://forestresort.lodgify.com/property/luxury-villa-6,"746 Main St, City, State 75194",https://www.forestresort.com,+1-698-644-7227,contact@forestresort.com,https://facebook.com/forestresort,https://instagram.com/forestresort,https://twitter.com/forestresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
valleyresort.lodgify.com,https://valleyresort.lodgify.com,30,6,https://valleyresort.lodgify.com/property/luxury-villa-1; https://valleyresort.lodgify.com/property/luxury-villa-2; https://valleyresort.lodgify.com/property/luxury-villa-3; https://valleyresort.lodgify.com/property/luxury-villa-4; https://valleyresort.lodgify.com/property/luxury-villa-5; https://valleyresort.lodgify.com/property/luxury-villa-6,"2698 Main St, City, State 61848",https://www.valleyresort.com,+1-786-905-7715,contact@valleyresort.com,https://facebook.com/valleyresort,https://instagram.com/valleyresort,https://twitter.com/valleyresort,,,Pool; WiFi; Parking; Kitchen; Air Conditioning,True,False
